rank,candidate_id,score,name,experience_roles,skills_count,certifications
1,CAND_0000045,26,Candidate_CAND_000,7,6,2
2,CAND_0000037,22,Candidate_CAND_000,5,8,1
3,CAND_0000041,22,Candidate_CAND_000,5,9,0
4,CAND_0000021,21,Candidate_CAND_000,6,16,0
5,CAND_0000017,20,Candidate_CAND_000,4,8,2
6,CAND_0000034,20,Candidate_CAND_000,7,10,0
7,CAND_0000011,19,Candidate_CAND_000,2,10,2
8,CAND_0000004,18,Candidate_CAND_000,3,10,2
9,CAND_0000025,18,Candidate_CAND_000,3,9,2
10,CAND_0000028,17,Candidate_CAND_000,1,10,1
11,CAND_0000031,17,Candidate_CAND_000,4,17,0
12,CAND_0000043,17,Candidate_CAND_000,4,17,0
13,CAND_0000048,17,Candidate_CAND_000,4,5,2
14,CAND_0000001,16,Candidate_CAND_000,2,17,0
15,CAND_0000035,16,Candidate_CAND_000,2,14,2
16,CAND_0000014,15,Candidate_CAND_000,3,13,0
17,CAND_0000026,15,Candidate_CAND_000,3,8,0
18,CAND_0000033,15,Candidate_CAND_000,3,10,1
19,CAND_0000042,15,Candidate_CAND_000,3,10,2
20,CAND_0000002,14,Candidate_CAND_000,4,9,0
21,CAND_0000005,14,Candidate_CAND_000,4,6,0
22,CAND_0000027,13,Candidate_CAND_000,2,16,0
23,CAND_0000039,13,Candidate_CAND_000,2,9,0
24,CAND_0000015,12,Candidate_CAND_000,3,10,0
25,CAND_0000020,12,Candidate_CAND_000,3,7,1
26,CAND_0000032,12,Candidate_CAND_000,3,10,0
27,CAND_0000009,11,Candidate_CAND_000,4,6,0
28,CAND_0000022,11,Candidate_CAND_000,1,8,1
29,CAND_0000024,10,Candidate_CAND_000,2,6,0
30,CAND_0000036,10,Candidate_CAND_000,5,9,0
31,CAND_0000044,10,Candidate_CAND_000,2,6,0
32,CAND_0000016,9,Candidate_CAND_000,3,8,0
33,CAND_0000018,9,Candidate_CAND_000,3,6,0
34,CAND_0000019,9,Candidate_CAND_000,3,8,0
35,CAND_0000029,9,Candidate_CAND_000,3,8,0
36,CAND_0000038,9,Candidate_CAND_000,3,11,0
37,CAND_0000046,9,Candidate_CAND_000,3,6,0
38,CAND_0000049,9,Candidate_CAND_000,3,6,0
39,CAND_0000008,8,Candidate_CAND_000,1,8,1
40,CAND_0000012,8,Candidate_CAND_000,1,10,0
41,CAND_0000013,8,Candidate_CAND_000,1,10,0
42,CAND_0000040,8,Candidate_CAND_000,1,9,0
43,CAND_0000047,8,Candidate_CAND_000,1,7,0
44,CAND_0000050,8,Candidate_CAND_000,4,7,0
45,CAND_0000006,7,Candidate_CAND_000,2,8,0
46,CAND_0000030,6,Candidate_CAND_000,3,9,0
47,CAND_0000003,5,Candidate_CAND_000,1,6,0
48,CAND_0000010,5,Candidate_CAND_000,1,17,0
49,CAND_0000007,4,Candidate_CAND_000,2,7,0
50,CAND_0000023,4,Candidate_CAND_000,2,10,0
